trial_num,subj_code,prop_incongruent,resp_type,word,color,trial_type,orientation,resp,is_correct,RT
88,stroop_PsychLH2022,.25,key,orange,orange,congruent,upside_down,o,1,484.0
89,stroop_PsychLH2022,.25,key,green,green,congruent,upside_down,g,1,757.0
90,stroop_PsychLH2022,.25,key,red,red,congruent,upside_down,r,1,553.0
91,stroop_PsychLH2022,.25,key,red,orange,incongruent,upside_down,o,1,770.0
92,stroop_PsychLH2022,.25,key,yellow,yellow,congruent,upside_down,y,1,575.0
93,stroop_PsychLH2022,.25,key,yellow,blue,incongruent,upside_down,b,1,682.0
94,stroop_PsychLH2022,.25,key,red,red,congruent,upright,r,1,1151.0
95,stroop_PsychLH2022,.25,key,orange,orange,congruent,upside_down,o,1,824.0
96,stroop_PsychLH2022,.25,key,orange,orange,congruent,upright,o,1,568.0
97,stroop_PsychLH2022,.25,key,red,red,congruent,upside_down,r,1,523.0
98,stroop_PsychLH2022,.25,key,blue,blue,congruent,upright,b,1,558.0
99,stroop_PsychLH2022,.25,key,yellow,yellow,congruent,upside_down,y,1,521.0
100,stroop_PsychLH2022,.25,key,green,yellow,incongruent,upside_down,y,1,445.0
1,stroop_Yuanxue,.25,key,orange,orange,congruent,upside_down,o,1,1548.0
2,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,754.0
3,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,745.0
4,stroop_Yuanxue,.25,key,red,yellow,incongruent,upright,r,0,622.0
5,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,777.0
6,stroop_Yuanxue,.25,key,green,green,congruent,upside_down,g,1,721.0
7,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,734.0
8,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,550.0
9,stroop_Yuanxue,.25,key,blue,blue,congruent,upside_down,b,1,706.0
10,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,426.0
11,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,659.0
12,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,464.0
13,stroop_Yuanxue,.25,key,orange,orange,congruent,upside_down,o,1,1143.0
14,stroop_Yuanxue,.25,key,green,green,congruent,upright,g,1,760.0
15,stroop_Yuanxue,.25,key,green,green,congruent,upright,b,0,527.0
16,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,746.0
17,stroop_Yuanxue,.25,key,orange,orange,congruent,upside_down,o,1,702.0
18,stroop_Yuanxue,.25,key,red,green,incongruent,upside_down,r,0,1319.0
19,stroop_Yuanxue,.25,key,orange,yellow,incongruent,upside_down,o,0,995.0
20,stroop_Yuanxue,.25,key,green,green,congruent,upright,g,1,755.0
21,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,997.0
22,stroop_Yuanxue,.25,key,red,red,congruent,upside_down,r,1,820.0
23,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upright,y,1,504.0
24,stroop_Yuanxue,.25,key,orange,orange,congruent,upside_down,o,1,566.0
25,stroop_Yuanxue,.25,key,yellow,red,incongruent,upside_down,y,0,553.0
26,stroop_Yuanxue,.25,key,blue,blue,congruent,upright,b,1,658.0
27,stroop_Yuanxue,.25,key,green,green,congruent,upright,g,1,588.0
28,stroop_Yuanxue,.25,key,yellow,blue,incongruent,upright,b,1,1517.0
29,stroop_Yuanxue,.25,key,red,red,congruent,upright,r,1,621.0
30,stroop_Yuanxue,.25,key,red,red,congruent,upright,r,1,485.0
31,stroop_Yuanxue,.25,key,red,green,incongruent,upside_down,g,1,1254.0
32,stroop_Yuanxue,.25,key,red,red,congruent,upside_down,r,1,772.0
33,stroop_Yuanxue,.25,key,orange,orange,congruent,upright,o,1,531.0
34,stroop_Yuanxue,.25,key,yellow,yellow,congruent,upside_down,y,1,661.0
